ID,callSign,date,time,latitude,longitude,altitude,vSFPM,secondsNextReport,speed,direction,outSideAirTemp,windDirection,windSpeed
1,AAW874,15-11-21,10:00:50,51.473122,-0.486201,0,0,39,0,270,15.00,250,6
2,AAW874,15-11-21,10:01:29,51.473156,-0.485997,0,0,13,2,270,15.00,250,6
3,AAW874,15-11-21,10:01:42,51.473167,-0.485792,0,0,13,2,270,15.00,250,6
4,AAW874,15-11-21,10:01:55,51.473171,-0.485573,0,0,12,2,270,15.00,250,6
5,AAW874,15-11-21,10:02:07,51.473171,-0.485363,0,0,12,2,275,15.00,250,6
6,AAW874,15-11-21,10:02:19,51.47319,-0.485161,0,0,15,2,300,15.00,250,6
7,AAW874,15-11-21,10:02:34,51.473179,-0.484939,0,0,116,2,348,15.00,250,6
8,AAW874,15-11-21,10:04:30,51.473167,-0.485495,0,0,50,0,70,15.00,250,6
9,AAW874,15-11-21,10:05:20,51.473099,-0.484886,0,0,67,0,180,15.00,250,6
10,AAW874,15-11-21,10:06:27,51.473305,-0.484902,0,0,9,4,7,15.00,250,6
11,AAW874,15-11-21,10:06:36,51.473511,-0.484902,0,0,8,6,7,15.00,250,6
12,AAW874,15-11-21,10:06:44,51.473797,-0.484905,0,0,5,8,356,15.00,250,6
13,AAW874,15-11-21,10:06:49,51.474007,-0.484905,0,0,5,9,357,15.00,250,6
14,AAW874,15-11-21,10:06:54,51.474243,-0.484902,0,0,5,11,357,15.00,250,6
15,AAW874,15-11-21,10:06:59,51.474499,-0.484905,0,0,4,12,358,15.00,250,6
16,AAW874,15-11-21,10:07:03,51.474712,-0.484902,0,0,6,13,1,15.00,250,6
17,AAW874,15-11-21,10:07:09,51.475113,-0.484902,0,0,6,13,359,15.00,250,6
18,AAW874,15-11-21,10:07:15,51.47543,-0.484905,0,0,6,10,4,15.00,250,6
19,AAW874,15-11-21,10:07:21,51.475636,-0.484791,0,0,5,8,22,15.00,250,6
20,AAW874,15-11-21,10:07:26,51.475754,-0.484543,0,0,3,9,50,15.00,250,6
21,AAW874,15-11-21,10:07:29,51.475788,-0.484295,0,0,4,10,73,15.00,250,6
22,AAW874,15-11-21,10:07:33,51.475788,-0.484011,0,0,6,11,87,15.00,250,6
23,AAW874,15-11-21,10:07:39,51.475788,-0.483473,0,0,3,12,90,15.00,250,6
24,AAW874,15-11-21,10:07:42,51.475788,-0.483213,0,0,5,12,90,15.00,250,6
25,AAW874,15-11-21,10:07:47,51.475788,-0.482767,0,0,2,13,90,15.00,250,6
26,AAW874,15-11-21,10:07:49,51.475788,-0.482521,0,0,13,14,90,15.00,250,6
27,AAW874,15-11-21,10:08:02,51.475788,-0.481079,0,0,8,16,90,15.00,250,6
28,AAW874,15-11-21,10:08:10,51.4758,-0.480132,0,0,16,17,90,15.00,250,6
29,AAW874,15-11-21,10:08:26,51.4758,-0.477848,0,0,6,19,90,15.00,250,6
30,AAW874,15-11-21,10:08:32,51.4758,-0.476952,0,0,13,20,90,15.00,250,6
31,AAW874,15-11-21,10:08:45,51.475811,-0.474806,0,0,10,22,90,15.00,250,6
32,AAW874,15-11-21,10:08:55,51.475811,-0.473118,0,0,6,23,90,15.00,250,6
33,AAW874,15-11-21,10:09:01,51.475822,-0.472041,0,0,6,24,90,15.00,250,6
